<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
^VN30,20090102,313.0000,315.6000,311.2000,313.2000,1688940
^VN30,20090105,307.9000,313.8000,305.8000,312.3000,3206370
^VN30,20090106,312.4000,316.9000,310.5000,314.1000,4345900
^VN30,20090107,320.2000,324.7000,317.7000,320.2000,6019220
^VN30,20090108,315.8000,321.8000,312.9000,315.3000,5457080
^VN30,20090109,313.8000,317.1000,311.8000,314.5000,3305170
^VN30,20090112,311.4000,314.3000,309.8000,312.7000,2050580
^VN30,20090113,309.1000,311.4000,306.5000,308.0000,3141230
^VN30,20090114,306.8000,312.9000,304.8000,309.3000,3042440
^VN30,20090115,304.7000,308.2000,303.5000,305.1000,2303070
^VN30,20090116,307.2000,310.4000,304.8000,308.3000,2525290
^VN30,20090119,308.3000,310.0000,306.2000,307.6000,1922560
^VN30,20090120,304.8000,307.1000,303.9000,305.2000,2549960
^VN30,20090121,303.4000,305.1000,301.6000,302.6000,2397190
^VN30,20090122,303.3000,306.1000,301.6000,303.7000,1530690
^VN30,20090123,302.7000,306.6000,302.4000,305.8000,1560660
^VN30,20090202,304.1000,304.9000,298.8000,299.6000,2335500
^VN30,20090203,293.3000,295.9000,289.3000,290.2000,3962910
^VN30,20090204,288.4000,293.4000,285.8000,287.6000,2452030
^VN30,20090205,286.4000,286.8000,278.2000,278.9000,3251770
^VN30,20090206,281.7000,285.0000,277.1000,282.8000,3227350
^VN30,20090209,287.7000,291.7000,284.0000,289.5000,2544390
^VN30,20090210,284.6000,287.5000,281.3000,284.0000,2169660
^VN30,20090211,276.5000,280.7000,275.3000,278.1000,2827440
^VN30,20090212,277.8000,283.1000,276.0000,279.3000,3427540
^VN30,20090213,277.3000,279.3000,275.3000,276.6000,1861720
^VN30,20090216,276.0000,276.7000,272.2000,273.3000,1890580
^VN30,20090217,269.3000,271.0000,261.5000,262.2000,3917320
^VN30,20090218,253.4000,257.5000,251.7000,253.7000,4626280
^VN30,20090219,256.8000,259.5000,250.5000,253.5000,3964680
^VN30,20090220,250.0000,252.9000,246.8000,250.7000,2945860
^VN30,20090223,243.9000,246.0000,239.9000,240.7000,4136660
^VN30,20090224,231.0000,233.5000,228.6000,230.4000,4679870
^VN30,20090225,237.1000,239.8000,234.6000,239.0000,3732190
^VN30,20090226,236.3000,240.3000,230.8000,237.5000,7909210
^VN30,20090227,233.5000,243.0000,232.6000,241.1000,5048460
^VN30,20090302,240.0000,245.6000,238.2000,243.6000,3864560
^VN30,20090303,236.0000,239.7000,233.9000,235.5000,4368540
^VN30,20090304,237.3000,240.7000,234.9000,238.2000,3977200
^VN30,20090305,243.4000,244.0000,238.0000,239.7000,3960510
^VN30,20090306,237.9000,240.8000,235.2000,238.6000,2858580
^VN30,20090309,240.4000,242.7000,238.7000,241.2000,3297120
^VN30,20090310,243.0000,247.6000,239.7000,245.2000,5439000
^VN30,20090311,251.1000,252.0000,246.2000,249.0000,9053780
^VN30,20090312,244.6000,249.0000,240.7000,243.5000,7889540
^VN30,20090313,244.2000,246.8000,242.2000,242.7000,4470630
^VN30,20090316,243.9000,247.3000,242.5000,246.6000,4724240
^VN30,20090317,252.3000,256.3000,251.3000,255.5000,9850840
^VN30,20090318,265.7000,266.2000,262.3000,265.5000,9047780
^VN30,20090319,263.2000,270.4000,255.8000,257.8000,15735580
^VN30,20090320,254.4000,261.5000,252.2000,256.2000,8034900
^VN30,20090323,254.8000,255.9000,248.8000,250.0000,7058930
^VN30,20090324,260.9000,261.2000,256.5000,260.2000,9754180
^VN30,20090325,260.5000,269.3000,258.5000,268.3000,13472960
^VN30,20090326,276.9000,277.7000,271.3000,276.8000,12582700
^VN30,20090327,282.7000,283.5000,274.4000,276.4000,16475970
^VN30,20090330,269.6000,277.9000,267.7000,271.3000,11848270
^VN30,20090331,267.3000,273.1000,263.2000,270.1000,11126980
^VN30,20090401,274.9000,279.5000,270.3000,278.2000,9031520
^VN30,20090402,281.6000,286.2000,278.2000,285.1000,11611950
^VN30,20090403,295.5000,298.0000,293.8000,297.6000,17322680
^VN30,20090407,301.4000,309.8000,296.1000,309.5000,17524010
^VN30,20090408,304.6000,317.9000,298.9000,301.4000,24492530
^VN30,20090409,305.0000,307.1000,296.6000,301.3000,15053380
^VN30,20090410,314.9000,315.2000,311.0000,314.0000,9858560
^VN30,20090413,326.9000,328.2000,325.5000,328.1000,6488400
^VN30,20090414,334.8000,340.0000,326.2000,337.3000,24876670
^VN30,20090415,329.3000,340.8000,325.0000,329.3000,30754260
^VN30,20090416,336.9000,338.5000,327.2000,333.9000,20282370
^VN30,20090417,328.7000,332.7000,317.3000,321.7000,25795900
^VN30,20090420,305.7000,307.5000,305.6000,306.0000,5992410
^VN30,20090421,292.2000,302.4000,292.1000,301.1000,10591100
^VN30,20090422,309.7000,313.2000,299.9000,309.7000,26934320
^VN30,20090423,307.1000,314.4000,301.1000,302.0000,12726790
^VN30,20090424,293.9000,301.0000,288.8000,297.1000,12126630
^VN30,20090427,302.8000,303.2000,296.4000,302.0000,9095570
^VN30,20090428,299.4000,306.3000,297.5000,303.9000,9333780
^VN30,20090429,303.8000,309.5000,301.9000,308.9000,11333940
^VN30,20090504,322.7000,322.7000,322.7000,322.7000,2757220
^VN30,20090505,337.5000,337.5000,336.2000,336.8000,7193150
^VN30,20090506,342.3000,347.3000,331.0000,336.0000,40126110
^VN30,20090507,349.3000,350.2000,344.3000,349.1000,18510120
^VN30,20090508,348.9000,358.0000,344.1000,350.2000,24290440
^VN30,20090511,355.9000,361.8000,351.0000,356.9000,20953010
^VN30,20090512,358.7000,365.7000,352.7000,365.0000,20342160
^VN30,20090513,362.8000,369.3000,354.7000,359.0000,24014710
^VN30,20090514,352.5000,360.8000,347.0000,357.9000,24066550
^VN30,20090515,367.7000,372.1000,361.8000,371.4000,24477710
^VN30,20090518,372.4000,378.0000,367.9000,372.1000,20105520
^VN30,20090519,385.4000,385.6000,377.1000,380.8000,18904660
^VN30,20090520,383.4000,391.3000,380.8000,388.4000,26334790
^VN30,20090521,392.3000,395.9000,382.6000,388.1000,27896040
^VN30,20090522,380.4000,388.0000,372.8000,378.8000,27332700
^VN30,20090525,388.1000,394.7000,386.2000,393.9000,15401230
^VN30,20090526,400.7000,404.0000,391.1000,396.9000,20975060
^VN30,20090527,399.0000,404.7000,391.1000,396.8000,23321600
^VN30,20090528,389.7000,396.3000,383.4000,385.8000,18488740
^VN30,20090529,389.3000,391.6000,374.7000,381.6000,18135450
^VN30,20090601,389.4000,396.7000,384.7000,395.3000,16338020
^VN30,20090602,413.1000,413.1000,405.2000,406.6000,23453910
^VN30,20090603,409.3000,414.2000,405.4000,410.6000,22889630
^VN30,20090604,419.8000,425.3000,417.3000,423.2000,24101690
^VN30,20090605,441.7000,441.9000,438.6000,441.4000,21201390
^VN30,20090608,461.1000,461.5000,460.0000,461.5000,9554410
^VN30,20090609,473.9000,478.8000,463.9000,475.1000,26824880
^VN30,20090610,468.2000,471.6000,457.2000,462.7000,45881640
^VN30,20090611,468.7000,480.4000,463.9000,476.3000,25237910
^VN30,20090612,490.3000,490.5000,469.4000,473.9000,27437690
^VN30,20090615,453.8000,470.3000,450.1000,457.6000,31184350
^VN30,20090616,435.3000,440.5000,435.2000,436.7000,18212540
^VN30,20090617,421.1000,441.7000,419.9000,440.3000,33772930
^VN30,20090618,455.2000,455.9000,439.0000,448.2000,23205690
^VN30,20090619,455.4000,455.9000,439.4000,444.3000,20638270
^VN30,20090622,430.9000,436.5000,425.2000,428.5000,19592200
^VN30,20090623,407.7000,414.2000,406.9000,409.1000,15304110
^VN30,20090624,425.1000,427.2000,420.3000,426.2000,17679190
^VN30,20090625,442.5000,443.0000,417.7000,425.7000,28170100
^VN30,20090626,427.3000,438.7000,424.2000,437.2000,17612380
^VN30,20090629,440.6000,445.6000,435.8000,439.0000,13274960
^VN30,20090630,444.0000,445.7000,428.5000,430.6000,18842740
^VN30,20090701,413.7000,421.5000,411.0000,412.0000,24051510
^VN30,20090702,408.7000,422.5000,401.6000,414.8000,21245200
^VN30,20090703,405.9000,417.8000,403.5000,415.7000,13075800
^VN30,20090706,421.0000,433.7000,417.8000,433.1000,14657630
^VN30,20090707,426.8000,436.3000,420.8000,424.4000,13974900
^VN30,20090708,421.0000,428.0000,414.9000,423.6000,13778640
^VN30,20090709,427.6000,432.5000,418.8000,422.8000,11460390
^VN30,20090710,423.4000,425.8000,413.2000,417.0000,16392680
^VN30,20090713,414.6000,416.2000,404.9000,406.0000,15633280
^VN30,20090714,404.3000,406.2000,392.8000,398.6000,15998470
^VN30,20090715,404.0000,411.8000,400.4000,406.6000,10898520
^VN30,20090716,416.7000,418.3000,405.7000,408.9000,14843190
^VN30,20090717,407.2000,410.0000,399.4000,403.3000,11619740
^VN30,20090720,389.2000,392.2000,386.0000,387.7000,14095570
^VN30,20090721,388.3000,395.3000,385.3000,391.0000,14570320
^VN30,20090722,397.4000,399.5000,391.5000,393.9000,10673060
^VN30,20090723,391.9000,407.6000,389.9000,407.6000,13153470
^VN30,20090724,426.0000,426.1000,425.2000,426.1000,10736190
^VN30,20090727,440.1000,443.1000,427.9000,441.2000,29913710
^VN30,20090728,437.5000,446.9000,430.5000,434.9000,34752360
^VN30,20090729,439.4000,442.7000,429.7000,430.3000,17992640
^VN30,20090730,423.8000,429.5000,414.5000,423.4000,15201610
^VN30,20090731,432.4000,439.3000,427.3000,438.3000,20989630
^VN30,20090803,438.7000,448.3000,434.1000,440.9000,17463210
^VN30,20090804,451.5000,453.6000,445.0000,450.9000,25619990
^VN30,20090805,448.1000,458.1000,445.2000,455.6000,20844690
^VN30,20090806,456.2000,465.0000,450.0000,452.9000,25783170
^VN30,20090807,452.9000,456.2000,447.3000,451.4000,16520550
^VN30,20090810,455.9000,463.6000,452.2000,460.2000,19506330
^VN30,20090811,460.1000,465.5000,456.4000,461.9000,17289720
^VN30,20090812,467.6000,470.6000,460.6000,464.3000,22674530
^VN30,20090813,473.9000,476.4000,464.4000,470.8000,27448380
^VN30,20090814,469.0000,478.7000,465.7000,474.0000,22890120
^VN30,20090817,472.6000,477.3000,466.0000,467.5000,19548890
^VN30,20090818,463.5000,470.2000,459.6000,465.9000,19560300
^VN30,20090819,471.3000,476.3000,466.2000,473.7000,16967810
^VN30,20090820,480.5000,482.2000,473.0000,478.0000,18054990
^VN30,20090821,488.9000,495.9000,479.3000,483.5000,30132200
^VN30,20090824,488.1000,496.8000,484.5000,494.2000,19973560
^VN30,20090825,499.8000,502.7000,491.8000,497.0000,26393090
^VN30,20090826,497.1000,502.5000,488.5000,492.1000,19823360
^VN30,20090827,492.7000,496.0000,487.0000,491.1000,18174790
^VN30,20090828,496.3000,500.7000,491.6000,499.3000,20281060
^VN30,20090831,507.8000,511.4000,501.6000,507.7000,27624060
^VN30,20090901,504.1000,511.7000,500.2000,507.7000,27622890
^VN30,20090903,501.4000,509.5000,492.4000,499.7000,24866070
^VN30,20090904,501.6000,504.7000,485.6000,487.5000,28078610
^VN30,20090907,482.9000,490.3000,471.5000,484.0000,25198730
^VN30,20090908,491.8000,498.6000,486.7000,495.8000,17524770
^VN30,20090909,497.1000,501.1000,489.7000,492.8000,21973840
^VN30,20090910,492.3000,500.7000,489.4000,496.7000,18373860
^VN30,20090911,505.6000,508.5000,500.5000,503.9000,21043430
^VN30,20090914,511.3000,517.6000,507.0000,512.6000,24020850
^VN30,20090915,518.0000,521.4000,507.6000,512.6000,29902040
^VN30,20090916,516.6000,521.3000,507.8000,513.6000,25024550
^VN30,20090917,520.4000,526.4000,507.2000,518.2000,38602170
^VN30,20090918,517.6000,527.9000,514.2000,526.4000,28942470
^VN30,20090921,533.5000,538.3000,525.2000,532.8000,28063970
^VN30,20090922,533.5000,543.6000,528.9000,536.2000,28545990
^VN30,20090923,546.4000,549.8000,533.1000,534.5000,36222200
^VN30,20090924,528.4000,538.4000,522.0000,527.6000,27226420
^VN30,20090925,526.8000,537.8000,522.9000,534.5000,35228550
^VN30,20090928,540.0000,542.7000,528.1000,531.7000,32210810
^VN30,20090929,534.4000,541.3000,523.7000,531.6000,37008320
^VN30,20090930,531.9000,538.4000,521.5000,529.7000,28129580
^VN30,20091001,529.2000,533.2000,516.6000,518.2000,25915300
^VN30,20091002,500.6000,511.0000,492.5000,498.7000,33110970
^VN30,20091005,502.2000,508.2000,489.4000,497.5000,19946350
^VN30,20091006,504.2000,507.5000,495.5000,498.9000,17186550
^VN30,20091007,505.5000,516.1000,502.7000,510.3000,16902430
^VN30,20091008,513.0000,517.3000,505.7000,513.6000,17507860
^VN30,20091009,522.6000,526.1000,515.5000,522.2000,24574180
^VN30,20091012,531.0000,537.3000,523.4000,532.2000,26651290
^VN30,20091013,530.2000,536.9000,523.0000,527.2000,25382640
^VN30,20091014,527.6000,540.5000,524.6000,539.2000,29941150
^VN30,20091015,558.0000,558.7000,541.3000,549.0000,41412230
^VN30,20091016,546.4000,553.8000,535.5000,539.9000,38495220
^VN30,20091019,539.9000,546.1000,532.8000,538.7000,27808580
^VN30,20091020,547.9000,551.5000,540.0000,546.9000,30824950
^VN30,20091021,546.1000,554.9000,541.5000,547.9000,25691500
^VN30,20091022,551.6000,556.9000,544.5000,552.8000,31474200
^VN30,20091023,560.5000,566.7000,546.7000,549.1000,55952480
^VN30,20091026,555.3000,561.3000,541.5000,545.6000,28489470
^VN30,20091027,538.2000,545.1000,527.7000,537.8000,45602090
^VN30,20091028,544.1000,548.8000,533.2000,540.0000,28602230
^VN30,20091029,524.4000,530.0000,514.3000,521.9000,39244230
^VN30,20091030,532.7000,535.6000,519.7000,525.8000,26245580
^VN30,20091102,504.0000,509.1000,499.8000,502.2000,29388340
